Sample_Index,Y_Encoded,Y_Label
0,2,KRAS
1,2,KRAS
2,1,EGFR
3,3,Triple-Negative
4,1,EGFR
5,3,Triple-Negative
6,1,EGFR
7,0,ALK
8,1,EGFR
9,0,ALK
10,1,EGFR
11,2,KRAS
12,1,EGFR
13,3,Triple-Negative
14,2,KRAS
15,2,KRAS
16,2,KRAS
17,1,EGFR
18,1,EGFR
19,1,EGFR
20,2,KRAS
21,3,Triple-Negative
22,3,Triple-Negative
23,1,EGFR
24,1,EGFR
25,2,KRAS
26,1,EGFR
27,2,KRAS
28,1,EGFR
29,2,KRAS
30,1,EGFR
31,1,EGFR
32,2,KRAS
33,1,EGFR
34,1,EGFR
35,1,EGFR
36,1,EGFR
37,1,EGFR
38,1,EGFR
39,2,KRAS
40,2,KRAS
41,2,KRAS
42,1,EGFR
43,1,EGFR
44,2,KRAS
45,1,EGFR
46,1,EGFR
47,2,KRAS
48,3,Triple-Negative
49,2,KRAS
50,1,EGFR
51,2,KRAS
52,2,KRAS
53,1,EGFR
54,0,ALK
55,3,Triple-Negative
56,1,EGFR
57,1,EGFR
58,1,EGFR
59,1,EGFR
60,1,EGFR
61,1,EGFR
62,2,KRAS
63,3,Triple-Negative
64,1,EGFR
65,3,Triple-Negative
66,1,EGFR
67,1,EGFR
68,1,EGFR
69,2,KRAS
70,1,EGFR
71,1,EGFR
72,3,Triple-Negative
73,2,KRAS
74,3,Triple-Negative
75,3,Triple-Negative
76,0,ALK
77,2,KRAS
78,2,KRAS
79,1,EGFR
80,2,KRAS
81,3,Triple-Negative
82,1,EGFR
83,2,KRAS
84,1,EGFR
85,3,Triple-Negative
86,1,EGFR
87,2,KRAS
88,2,KRAS
89,2,KRAS
90,1,EGFR
91,1,EGFR
92,3,Triple-Negative
93,2,KRAS
94,1,EGFR
95,2,KRAS
96,3,Triple-Negative
97,1,EGFR
98,2,KRAS
99,2,KRAS
100,2,KRAS
101,1,EGFR
102,1,EGFR
103,1,EGFR
104,3,Triple-Negative
105,2,KRAS
106,2,KRAS
107,2,KRAS
108,2,KRAS
109,0,ALK
110,3,Triple-Negative
111,1,EGFR
112,1,EGFR
113,1,EGFR
114,3,Triple-Negative
115,2,KRAS
116,2,KRAS
117,2,KRAS
118,2,KRAS
119,3,Triple-Negative
120,1,EGFR
121,0,ALK
122,1,EGFR
123,1,EGFR
124,3,Triple-Negative
125,2,KRAS
126,3,Triple-Negative
127,0,ALK
128,2,KRAS
129,2,KRAS
130,1,EGFR
131,1,EGFR
132,2,KRAS
133,3,Triple-Negative
134,1,EGFR
135,2,KRAS
136,3,Triple-Negative
137,1,EGFR
138,2,KRAS
139,3,Triple-Negative
140,1,EGFR
141,3,Triple-Negative
142,1,EGFR
143,1,EGFR
144,1,EGFR
145,2,KRAS
146,2,KRAS
147,2,KRAS
148,2,KRAS
149,3,Triple-Negative
150,1,EGFR
151,1,EGFR
152,0,ALK
153,1,EGFR
154,1,EGFR
155,2,KRAS
156,0,ALK
157,2,KRAS
158,3,Triple-Negative
159,2,KRAS
160,2,KRAS
161,3,Triple-Negative
162,2,KRAS
163,1,EGFR
164,1,EGFR
165,1,EGFR
166,1,EGFR
167,1,EGFR
168,1,EGFR
169,2,KRAS
170,2,KRAS
171,1,EGFR
172,2,KRAS
173,2,KRAS
174,3,Triple-Negative
175,1,EGFR
176,2,KRAS
177,1,EGFR
178,2,KRAS
179,1,EGFR
180,1,EGFR
181,1,EGFR
182,1,EGFR
183,3,Triple-Negative
184,3,Triple-Negative
185,2,KRAS
186,1,EGFR
187,1,EGFR
188,1,EGFR
189,1,EGFR
190,1,EGFR
191,2,KRAS
192,2,KRAS
193,1,EGFR
194,2,KRAS
195,1,EGFR
196,2,KRAS
197,2,KRAS
198,1,EGFR
199,1,EGFR
200,2,KRAS
201,1,EGFR
202,2,KRAS
203,1,EGFR
204,2,KRAS
205,1,EGFR
206,2,KRAS
207,2,KRAS
208,2,KRAS
209,1,EGFR
210,2,KRAS
211,2,KRAS
212,1,EGFR
213,1,EGFR
